Source,Target,Type,Id,Label,timeset,Weight
UC0HxyEc_ojRJ1oJXS5K6oaA,UCqA8H22FwgBVcF3GJpp0MQw,Directed,5036,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCtyONQLs6htK-wWiCAk4wVw,Directed,5037,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCzB4XvWgVlXFI4ljbQXzmwA,Directed,5038,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UC0efyK_-Athm8yhyjNSqndQ,Directed,5039,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UC4szzzU_Xpb6zeFussmIqWw,Directed,5040,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCt8ctlakIflnSG0ebFps7cw,Directed,5041,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UC0yPCUmdMZIGtnxSnx5_ifA,Directed,5042,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCtKeC_IOMqh0-jhU59dLRHQ,Directed,5043,,,1
UC0JUkXAVVA4qWH1BQRs5N3A,UCvFUHbJieL0AzVHHbgfhk7A,Directed,5044,,,1
UC0JUkXAVVA4qWH1BQRs5N3A,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,5045,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCgkhWgBGRp0sdFy2MHDWfSg,Directed,5046,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCsz9DiwPtgDvxJ-njWnieZw,Directed,5047,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UC4PasDd25MXqlXBogBw9CAg,Directed,5048,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCaNlbnghtwlsGF-KzAFThqA,Directed,5049,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UC7myUXybJN3i_gLdSBlD_3g,Directed,5050,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCWty1tzwZW_ZNSp5GVGteaA,Directed,5051,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UChniS87UUJztHrznBFuxx-Q,Directed,5052,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCC_Uk-ByD_o3ZvsvRvHlX-A,Directed,5053,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCqA8H22FwgBVcF3GJpp0MQw,Directed,5054,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCMFcMhePnH4onVHt2-ItPZw,Directed,5055,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCm5wThREh298TkK8hCT9HuA,Directed,5056,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,5057,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCaNlbnghtwlsGF-KzAFThqA,Directed,5058,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC5z-dw1g1G2_twr2-RAtdHQ,Directed,5059,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCP46_MXP_WG_auH88FnfS1A,Directed,5060,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCKjDY4joMPcoRMmd-G1yz1Q,Directed,5061,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCzbGpOW-QXRLKyD6Hsftk-g,Directed,5062,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCnf0fDz1vTYW-sl36wbVMbg,Directed,5063,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,5064,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UChW-VEUq2ej-4meaGN0GjFw,Directed,5065,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCt8ctlakIflnSG0ebFps7cw,Directed,5066,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCfO4BQD5_S1272GVmuXmTxA,Directed,5067,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC5eOLQO5VUEFJukNg9cl5jg,Directed,5068,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC07z9r4VHsH1mIsWFpc0AVw,Directed,5069,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCoFwxXmcRt-Cjtiur-vpnmA,Directed,5070,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,5071,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCJ9kIKgFuAB23GkEko1hHDg,Directed,5072,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC8T_vTz76WUsudvxPk6SLEw,Directed,5073,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC9BnGZLT4iPaJtDOXYwQuHQ,Directed,5074,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC1EacOJoqsKaYxaDomTCTEQ,Directed,5075,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCREQUCvi8eBCuamHuwiH9eA,Directed,5076,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCwI-JbGNsojunnHbFAc0M4Q,Directed,5077,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC5X4e8ScZI2AFd_vkjSoyoQ,Directed,5078,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,5079,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCS_7tplUgzJG4DhA16re5Yg,Directed,5080,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UCG-O7s_-BlT_mWGlYw-SEHg,Directed,5081,,,1
UC0yPCUmdMZIGtnxSnx5_ifA,UC2EYhsS52ykT6sQH5FXoY7g,Directed,5082,,,1
